molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL1307154,O=C(Nc1nc2c(s1)CCc1ccccc1-2)c1ccco1,inactive,296.351,3.7540000000000022,1.0,4.0,4.40000018605658
CHEMBL1538934,C=CCn1c(O)c(CN2CCOCC2)c(C)c(C#N)c1=O,inactive,289.335,0.7522,1.0,6.0,4.499999678657065
CHEMBL1591721,Cc1ccc(C(=O)Nc2cc(-c3nc4ncccc4o3)ccc2C)c(C)c1,inactive,357.4130000000001,5.067360000000003,1.0,4.0,4.59999938302362
CHEMBL1724961,O=C(Cn1ncc2c3ccccc3n(Cc3ccc(Cl)cc3)c2c1=O)N1CCCCCC1,inactive,448.95400000000035,4.455500000000003,0.0,5.0,4.40000018605658
CHEMBL3194119,CCOC(=O)C1=C(C)N=c2s/c(=C\c3ccc(OCC(=O)O)cc3)c(=O)n2C1c1ccc(OC(C)C)cc1,inactive,536.6060000000003,3.0489000000000015,1.0,9.0,4.499999678657065
CHEMBL1524359,CCCN(CC1CC1)C(=O)COC(=O)c1oc2ccc(OCC)cc2c1C,inactive,373.4490000000001,3.9453200000000033,0.0,5.0,4.300000202445418
CHEMBL1437329,O=C(Nc1ccc2nc(SCCOc3ccccc3)sc2c1)c1ccco1,inactive,396.49300000000005,5.312700000000004,1.0,6.0,4.300000202445418
CHEMBL1411943,CC(C)c1ccc(NC(=O)N2CCN(S(=O)(=O)c3ccccc3)CC2)cc1,inactive,387.5050000000001,3.3484000000000025,1.0,3.0,4.349999603463148
CHEMBL1315360,COc1ccc(-c2oc3ncn4nc(-c5ccccc5Cl)nc4c3c2-c2ccc(OC)cc2)cc1,active,482.9270000000002,6.542100000000005,0.0,7.0,6.400007822415902
CHEMBL1880397,NS(=O)(=O)c1ccc(CCNC(=O)C(=O)NCC2OCCN2S(=O)(=O)c2ccc(F)cc2)cc1,inactive,514.5570000000002,-0.7047999999999968,3.0,7.0,4.349999603463148
CHEMBL1461957,COc1ccc(-n2cnnc2SCC(=O)Nc2cc(C)on2)cc1,active,345.38400000000007,2.30312,1.0,8.0,6.849857838151442
CHEMBL1609076,O=C(CSc1nnc(-c2ccccc2Br)o1)N1CCN(C(=O)c2ccco2)CC1,inactive,477.3400000000004,3.168800000000002,0.0,7.0,4.550000451689026
CHEMBL1347214,COc1cc(C)c(Br)cc1S(=O)(=O)N1CCOCC1,active,350.2340000000002,1.7870199999999998,0.0,4.0,6.550059011226662
CHEMBL1321492,O=C(Cc1ccccc1)Nc1c(C(=O)N2CCN(c3ccc(F)cc3)CC2)oc2ccccc12,inactive,457.5050000000001,4.715500000000004,1.0,4.0,4.349999603463148
CHEMBL1571793,CC(C)N(Cc1ccccc1)C(=O)c1nc(-c2ccc(Cl)cc2)n2c1CCCCC2,inactive,421.9720000000002,5.980700000000006,0.0,3.0,5.0
CHEMBL1384404,O=C(NC12CC3CC(CC(C3)C1)C2)c1cccc(OC(F)F)c1,active,321.36699999999996,3.9866000000000037,1.0,2.0,6.100015437450609
CHEMBL1555708,Cc1ccc(Nc2nnc(-c3ccc(C)c(S(=O)(=O)N4CCN(C)CC4)c3)c3ccccc23)cc1,active,487.62900000000036,4.593340000000004,1.0,6.0,6.199970640755866
CHEMBL1446313,O=C(O)C1Sc2nc(O)sc2C2c3ccc(O)cc3OC(=O)C12,inactive,351.3610000000001,1.7802999999999995,3.0,8.0,4.349999603463148
CHEMBL1553105,CCCCOC(=O)c1ccc(NC(=O)c2sc3nc(C)cc(C)c3c2N)cc1,inactive,397.50000000000017,4.704540000000003,2.0,6.0,4.849999245077863
CHEMBL1593919,CC(C)Cn1c(=O)c2ccccc2n2c(CCC(=O)Nc3ccc(F)cc3)nnc12,active,407.44900000000007,3.4106000000000014,1.0,6.0,6.0499760934766735
CHEMBL1448592,CCCCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],inactive,387.44999999999993,2.7979000000000003,0.0,1.0,4.349999603463148
